Official Name,Country/Org of UN Registry,Country of Operator,Operator,Users,Purpose,Period (minutes),Date of Launch,Contractor,Country of Contractor,Launch Site,Launch Vehicle,NORAD Number,Year
Starlink-64 ,NR (11/19),USA,SpaceX,Commercial,Communications,95.7,5/24/2019,SpaceX,USA,Cape Canaveral,Falcon 9,44275,2019
Starlink-65 ,NR (11/19),USA,SpaceX,Commercial,Communications,95.7,5/24/2019,SpaceX,USA,Cape Canaveral,Falcon 9,44276,2019
Starlink-66 ,NR (11/19),USA,SpaceX,Commercial,Communications,95.7,5/24/2019,SpaceX,USA,Cape Canaveral,Falcon 9,44255,2019
Starlink-67 ,NR (11/19),USA,SpaceX,Commercial,Communications,95.7,5/24/2019,SpaceX,USA,Cape Canaveral,Falcon 9,44278,2019
Starlink-68 ,NR (11/19),USA,SpaceX,Commercial,Communications,95.7,5/24/2019,SpaceX,USA,Cape Canaveral,Falcon 9,44279,2019
Starlink-69 ,NR (11/19),USA,SpaceX,Commercial,Communications,95.7,5/24/2019,SpaceX,USA,Cape Canaveral,Falcon 9,44267,2019
Starlink-70 ,NR (11/19),USA,SpaceX,Commercial,Communications,95.7,5/24/2019,SpaceX,USA,Cape Canaveral,Falcon 9,44281,2019
Starlink-71 ,NR (11/19),USA,SpaceX,Commercial,Communications,95.7,5/24/2019,SpaceX,USA,Cape Canaveral,Falcon 9,44252,2019
Starlink-72 ,NR (11/19),USA,SpaceX,Commercial,Communications,95.7,5/24/2019,SpaceX,USA,Cape Canaveral,Falcon 9,44263,2019
Starlink-73 ,NR (11/19),USA,SpaceX,Commercial,Communications,95.7,5/24/2019,SpaceX,USA,Cape Canaveral,Falcon 9,44284,2019
Starlink-74 ,NR (11/19),USA,SpaceX,Commercial,Communications,95.7,5/24/2019,SpaceX,USA,Cape Canaveral,Falcon 9,44293,2019
Starlink-75,NR (11/19),USA,SpaceX,Commercial,Communications,95.7,5/24/2019,SpaceX,USA,Cape Canaveral,Falcon 9,44286,2019
Starlink-76 ,NR (11/19),USA,SpaceX,Commercial,Communications,95.7,5/24/2019,SpaceX,USA,Cape Canaveral,Falcon 9,44287,2019
Starlink-77 ,NR (11/19),USA,SpaceX,Commercial,Communications,95.7,5/24/2019,SpaceX,USA,Cape Canaveral,Falcon 9,44291,2019
Starlink-78 ,NR (11/19),USA,SpaceX,Commercial,Communications,95.7,5/24/2019,SpaceX,USA,Cape Canaveral,Falcon 9,44290,2019
Starlink-79 ,NR (11/19),USA,SpaceX,Commercial,Communications,95.7,5/24/2019,SpaceX,USA,Cape Canaveral,Falcon 9,44288,2019
Starlink-81 ,NR (11/19),USA,SpaceX,Commercial,Communications,95.7,5/24/2019,SpaceX,USA,Cape Canaveral,Falcon 9,44292,2019
STARS-1,Japan,Japan,Kagawa University,Civil,Technology Development,97.88,1/23/2009,Kagawa University,Japan,Tanegashima Space Center,H2A,33498,2009
Step Cube Lab,South Korea,South Korea,Chosun University,Civil,Technology Development,94.5,1/11/2018,Chosun University,South Korea,Satish Dhawan Space Centre,PSLV,43138,2018
STF-1,NR (11/19),USA,West Virginia University,Civil,Technology Development,94.6,12/16/2018,West Virginia University,USA,Rocket Lab Launch Complex 1,Electron,43852,2018
STPSat-3,USA,USA,USAF Space Test Program,Military,Technology Development,94.66,11/19/2013,Ball Aerospace,USA,Wallops Island Flight Facility,Minotaur 1,39380,2013
STPSat-5,NR (11/19),USA,USAF Space Test Program,Military,Technology Development,96.3,12/3/2018,Sierra Nevada Corp.,USA,Vandenberg AFB,Falcon 9,43762,2018
STRaND-1,United Kingdom,United Kingdom,Surrey Satellite Technology Ltd.,Commercial,Technology Development,100.4,2/25/2013,Surrey Satellite Technology Limited (SSTL),UK,Satish Dhawan Space Centre,PSLV,39090,2013
Cosmos 2385,Russia,Russia,Ministry of Defense,Military,Communications,114.2,12/27/2001,NPO/PM - Scientific Research Institute for Precision Instruments (NII-TP),Russia,Plesetsk Cosmodrome,Tsyklon 3,27056,2001
Cosmos 2386,Russia,Russia,Ministry of Defense,Military,Communications,114.2,12/27/2001,NPO/PM - Scientific Research Institute for Precision Instruments (NII-TP),Russia,Plesetsk Cosmodrome,Tsyklon 3,27057,2001
Cosmos 2390,Russia,Russia,Ministry of Defense,Military,Communications,115.7,7/8/2002,NPO/PM - Scientific Research Institute for Precision Instruments (NII-TP),Russia,Plesetsk Cosmodrome,Kosmos 3M,27464,2002
Cosmos 2391,Russia,Russia,Ministry of Defense,Military,Communications,115.7,7/8/2002,NPO/PM - Scientific Research Institute for Precision Instruments (NII-TP),Russia,Plesetsk Cosmodrome,Kosmos 3M,27465,2002
Cosmos 2400,Russia,Russia,Ministry of Defense,Military,Communications,115.7,8/19/2003,NPO/PM - Scientific Research Institute for Precision Instruments (NII-TP),Russia,Plesetsk Cosmodrome,Kosmos 3M,27868,2003
Cosmos 2401,Russia,Russia,Ministry of Defense,Military,Communications,115.6,8/19/2003,NPO/PM - Scientific Research Institute for Precision Instruments (NII-TP),Russia,Plesetsk Cosmodrome,Kosmos 3M,27869,2003
Cosmos 2408,Russia,Russia,Ministry of Defense,Military,Communications,115.5,9/23/2004,NPO/PM - Scientific Research Institute for Precision Instruments (NII-TP),Russia,Plesetsk Cosmodrome,Kosmos 3M,28419,2004
Cosmos 2409,Russia,Russia,Ministry of Defense,Military,Communications,115.6,9/23/2004,NPO/PM - Scientific Research Institute for Precision Instruments (NII-TP),Russia,Plesetsk Cosmodrome,Kosmos 3M,28420,2004
STSat-2C,South Korea,South Korea,Korea Aerospace Research Institute (KARI),Government,Technology Development,102.77,1/30/2013,Korea Advanced Institute of Science and Technology (KAIST),South Korea,Naro Space Center,Naro-1,39068,2013
USA 205,USA,USA,Missile Defense Agency (MDA),Military,Technology Development,102.41,5/5/2009,Northrop Grumman,USA,Vandenberg AFB,Delta 2,34903,2009
USA 208,USA,USA,Missile Defense Agency (MDA),Military,Technology Development,112.68,9/25/2009,Northrop Grumman,USA,Cape Canaveral,Delta 2,35937,2009
USA 209,USA,USA,Missile Defense Agency (MDA),Military,Technology Development,112.58,9/25/2009,Northrop Grumman,USA,Cape Canaveral,Delta 2,35938,2009
Suomi-100,Finland,Finland,Aalto University,Civil,Technology Development,96.3,12/3/2018,Aalto University,Finland,Vandenberg AFB,Falcon 9,43804,2018
Superbird 7,Japan,Japan,Sky Perfect JSAT Corporation,Commercial,Communications,1436.1,8/14/2008,Mitsubishi Electric ,Japan,Guiana Space Center,Ariane 5 ECA,33274,2008
Superbird 8/DSN 1,Japan,Japan,Sky Perfect JSAT Corporation/DSN Corp.,Commercial/Military,Communications,1436.1,4/5/2018,Mitsubishi Electric ,Japan,Guiana Space Center,Ariane 5,43271,2018
Superview 1-01,China,China,Beijing Space View Technology,Commercial,Earth Observation,93.3,12/28/2016,China Aerospace Science and Technology Corp. (CASC),China,Taiyuan Launch Center,Long March 2D,41907,2016
Superview 1-02,China,China,Beijing Space View Technology,Commercial,Earth Observation,93.4,12/28/2016,China Aerospace Science and Technology Corp. (CASC),China,Taiyuan Launch Center,Long March 2D,41908,2016
Superview 1-03,China,China,Beijing Space View Technology,Commercial,Earth Observation,95.1,1/8/2018,China Aerospace Science and Technology Corp. (CASC),China,Taiyuan Launch Center,Long March 2D,43099,2018
Superview 1-04,China,China,Beijing Space View Technology,Commercial,Earth Observation,95,1/8/2018,China Aerospace Science and Technology Corp. (CASC),China,Taiyuan Launch Center,Long March 2D,43100,2018
SWARM-A,ESA,ESA,European Space Agency (ESA),Government,Earth Observation,93.9,11/22/2013,Astrium,France,Plesetsk Cosmodrome,Rokot,39452,2013
SWARM-B,ESA,ESA,European Space Agency (ESA),Government,Earth Observation,93.9,11/22/2013,Astrium,France,Plesetsk Cosmodrome,Rokot,39451,2013
SWARM-C,ESA,ESA,European Space Agency (ESA),Government,Earth Observation,94,11/22/2013,Astrium,France,Plesetsk Cosmodrome,Rokot,39453,2013
Swayam,NR,India,"College of Engineering, Pune",Civil,Technology Development,94.7,6/22/2016,"College of Engineering, Pune",India,Satish Dhawan Space Centre,PSLV XL,41607,2016
Swiatowid,NR (11/19),Poland,SatRevolution,Commercial,Earth Observation,92.8,7/12/2019,SatRevolution,Poland,International Space Station,Nanorack Deployer,44427,2019
Swift,USA,USA/United Kingdom/Italy,Goddard Space Flight Center/Penn State University,Government/Civil,Space Science,96.3,11/20/2004,Spectrum Astro (General Dynamics),USA,Cape Canaveral,Delta 7320,28485,2004
SwissCube,NR,Switzerland,Ecole Polytechnique Fédérale de Lausanne (EPFL),Civil,Technology Development,99.1,9/23/2009,Ecole Polytechnique Fédérale de Lausanne (EPFL),Switzerland,Satish Dhawan Space Centre,PSLV,35932,2009
Syracuse 3A,France,France,Defense Ministry,Military,Communications,1436.06,10/13/2005,Alcatel Alenia Space,France/Italy,Guiana Space Center,Ariane 5,28885,2005
Syracuse 3B,France,France,Defense Ministry,Military,Communications,1436.09,8/11/2006,Alcatel Alenia Space,France/Italy,Guiana Space Center,Ariane 5,29273,2006
TacSat 4,USA,USA,Naval Research Laboratory,Military,Technology Development,235.16,9/27/2011,Naval Research Laboratory/Johns Hopkins University Applied Physics Laboratory,USA,Kodiak Launch Complex,Minotaur 4,37818,2011
TacSat 6,NR,USA,Operational Responsive Space (ORS) Office,Military,Technology Development,98,12/5/2013,Air Force Research Laboratory (AFRL),USA,Vandenberg AFB,Atlas 5,39473,2013
TanDEM-X,Germany,Germany,German Aerospace Center (DLR)/Astrium,Government,Earth Observation,94.8,6/21/2010,EADS Astrium,France/UK/Germany/Spain,Baikonur Cosmodrome,Dnepr,36605,2010
Tangguo Guan,NR,China,Alibaba,Commercial,Communications,100.60,10/24/2018,Unknown,China,Taiyuan Launch Center,Long March 4B,43656,2018
Tango,ESA,ESA,European Space Agency (ESA) (and 250 international scientific investigators),Government,Space Science,"3,442.00",8/9/2000,Dornier Systems (Astrium) and 35 subcontractors,International,Baikonur Cosmodrome,Soyuz,26464,2000
TanSat,China,China,China Meteorological Administration,Government,Earth Observation,98.86,12/21/2016,Shanghai Engineering Center for Microsatellites,China,Jiuquan Satellite Launch Center,Long March 2D,41898,2016
Tanyusha No. 3,NR,Russia,Southwestern State University,Civil,Technology Development,92.60,8/15/2018,Southwestern State University,Russia,International Space Station,Manual Deployment,43597,2018
Tanyusha No. 4,NR,Russia,Southwestern State University,Civil,Technology Development,92.60,8/15/2018,Southwestern State University,Russia,International Space Station,Manual Deployment,43597,2018
TDO,NR (11/19),USA,US Air Force,Military,Technology Development,620.20,8/8/2019,Unknown,USA,Cape Canaveral,Atlas 5,44482,2019
TDRS-10,USA,USA,National Aeronautics and Space Administration (NASA),Government,Communications,1436.04,12/4/2002,Boeing Satellite Systems,USA,Cape Canaveral,Atlas 2A,27566,2002
TDRS-11,USA,USA,National Aeronautics and Space Administration (NASA)/Goddard Space Flight Center,Government,Communications,1436.18,1/31/2013,Boeing Satellite Systems,USA,Cape Canaveral,Atlas 5,39070,2013
TDRS-12,USA,USA,National Aeronautics and Space Administration (NASA),Government,Communications,1435.88,1/23/2014,Boeing Satellite Systems,USA,Cape Canaveral,Atlas 5,39504,2014
TDRS-13,USA,USA,National Aeronautics and Space Administration (NASA),Government,Communications,1436,8/18/2017,Boeing Satellite Systems,USA,Cape Canaveral,Atlas 5,42915,2017
TDRS-3,USA,USA,National Aeronautics and Space Administration (NASA),Government,Communications,1436.06,9/29/1988,TRW Defense and Space Systems Group,USA,Cape Canaveral,Space Shuttle (STS 26),19548,1988
TDRS-5,USA,USA,SES S.A.,Government/Commercial,Communications,1436.99,8/2/1991,TRW Defense and Space Systems Group,USA,Cape Canaveral,Space Shuttle (STS 43),21639,1991
TDRS-6,USA,USA,National Aeronautics and Space Administration (NASA)/SES Americom (SES [Société Européenne des Satellites (SES)]),Government/Commercial,Communications,1435.7,1/13/1993,TRW Defense and Space Systems Group,USA,Cape Canaveral,Space Shuttle (STS 54),22314,1993
TDRS-7,USA,USA,National Aeronautics and Space Administration (NASA),Government,Communications,1436.04,7/13/1995,TRW Defense and Space Systems Group,USA,Cape Canaveral,Space Shuttle (STS 70),23613,1995
TDRS-8,USA,USA,National Aeronautics and Space Administration (NASA),Government,Communications,1436.2,6/30/2000,Boeing Satellite Systems,USA,Cape Canaveral,Atlas 2A,26388,2000
TDRS-9,USA,USA,National Aeronautics and Space Administration (NASA),Government,Communications,1436.11,3/8/2002,Boeing Satellite Systems,USA,Cape Canaveral,Atlas 2A,27389,2002
TechDemoSat-1,United Kingdom,United Kingdom,Technology Strategy Board,Government,Technology Development,97.27,7/8/2014,Surrey Satellite Technology Ltd. (SSTL),UK,Baikonur Cosmodrome,Soyuz-2.1b,40076,2014
Technosat,Germany,Germany,Technical University Berlin,Civil,Technology Demonstration,96.6,7/14/2017,Technical University Berlin,Germany,Baikonur Cosmodrome,Soyuz 2.1a,42829,2017
TecSAR,NR,Israel,Defense Ministry,Military,Earth Observation,94.5,1/21/2008,Israel Aerospace Industries (IAI),Israel,Satish Dhawan Space Centre,PSLV C10,32476,2008
TeLEOS 1,NR,Singapore,AgilSpace,Commercial,Earth Observation,95.5,12/16/2015,ST Electronics Ltd.,Singapore,Satish Dhawan Space Centre,PSLV C29,41169,2015
Telkom 2,Indonesia,Indonesia,PT Telkomunikasi,Commercial,Communications,1436.1,11/16/2005,Orbital Sciences Corp.,USA,Guiana Space Center,Ariane 5 ECA,28902,2005
Telkom 3S,Indonesia,Indonesia,PT Telkomunikasi,Commercial,Communications,1436.1,2/14/2017,Thales Alenia Space,France/Italy,Guiana Space Center,Ariane 5 ECA,41944,2017
Telstar 11N,NR,Canada,"Telesat Canada Ltd. (BCE, Inc.)",Commercial,Communications,1436.13,2/26/2009,Space Systems/Loral,USA,Sea Launch Odyssey,Zenit 3SLB,34111,2009
Telstar 12,USA,Multinational,EUTELSAT S.A. -- leased from Loral Skynet Satellite Services (Loral Global Alliance) ,Commercial,Communications,1436.09,10/19/1999,Space Systems/Loral,USA,Guiana Space Center,Ariane 44LP,25949,1999
Telstar 12V,NR,Canada,"Telesat Canada Ltd. (BCE, Inc.)",Commercial,Communications,1436.1,11/24/2015,Airbus Defense and Space,France/UK/Germany/Spain,Tanegashima Space Center,H2A,41036,2015
Telstar 14R,Brazil,Canada,"Telesat Canada Ltd. (BCE, Inc.)",Commercial,Communications,1436.1,5/20/2011,Space Systems/Loral,USA,Baikonur Cosmodrome,Proton,37602,2011
Telstar 18,NR,Multinational,Loral Skynet Satellite Services (Loral Global Alliance)/APT Satellite Holdings Ltd.,Commercial,Communications,1436.1,6/29/2004,Space Systems/Loral,USA,Sea Launch Odyssey,Zenit 3SL,28364,2004
Telstar 18 Vantage,NR,Canada,"Telesat Canada Ltd. (BCE, Inc.)/APT Satellite Holdings Ltd.",Commercial,Communications,1436.09,9/10/2018,Space Systems/Loral,USA,Cape Canaveral,Falcon 9,43611,2018
Telstar 19 Vantage,NR,Canada,"Telesat Canada Ltd. (BCE, Inc.)",Commercial,Communications,1436.1,7/22/2018,Space Systems/Loral,USA,Cape Canaveral,Falcon 9,43562,2018
TEMPEST-D,NR,USA,Colorado State University,Civil,Space Science,92.6,7/13/2018,"Colorado State University, NASA Jet Propulsion Laboratory, Blue Canyon Technologies, Inc.",USA,International Space Station,Nanorack Deployer,43547,2018
Ten-Koh,NR,Japan,Kyushu Institute of Technology,Civil,Space Science,96.7,10/29/2018,Kyushu Technical University,Japan,Tanegashima Space Center,H2A,43677,2018
TEPCE,NR (11/19),USA,US Naval Research Laboratory,Military,Technology Development,96.1,6/25/2019,US Naval Research Laboratory,USA,Cape Canaveral,Falcon Heavy,44346,2019
TerraSAR X 1,Germany,Germany,German Aerospace Center (DLR)/Infoterra,Government/Commercial,Earth Observation,94.8,6/15/2007,EADS Astrium,France/UK/Germany/Spain,Baikonur Cosmodrome,Dnepr,31698,2007
TerraStar 1,USA,USA,TerraStar Corporation,Commercial,Communications,1436.11,7/1/2009,Space Systems/Loral,USA,Guiana Space Center,Ariane 5 ECA,35496,2009
TESS,USA,USA,National Aeronautics  and Space Administration (NASA),Government,Space Science,"8,758",4/18/2018,NASA/MIT,USA,Cape Canaveral,Falcon 9,43435,2018
TET-1,Germany,Germany,German Aerospace Center (DLR),Commercial,Technology Development,94.7,7/22/2012,Kayser-Threde GmbH,Germany,Baikonur Cosmodrome,Soyuz-Fregat,38710,2012
Thaicom-4,NR,Thailand,Thaicom Public Company Ltd. ,Commercial,Communications,1436.1,8/11/2005,Space Systems/Loral,USA,Guiana Space Center,Ariane 5G,28786,2005
Thaicom-5,NR,Thailand,Thaicom Public Company Ltd. ,Commercial,Communications,1436.1,5/27/2006,Alcatel Alenia Space,France,Guiana Space Center,Ariane 5 ECA,29163,2006
Thaicom-6,NR,Thailand,Thaicom Public Company Ltd. ,Commercial,Communications,1436.3,1/6/2014,Orbital Sciences Corp.,USA,Cape Canaveral,Falcon 9,39500,2014
Thaicom-8,NR,Thailand,Thaicom Public Company Ltd. ,Commercial,Communications,1440.09,5/27/2016,Orbital ATK,USA,Cape Canaveral,Falcon 9,41552,2016
THEA,NR (11/19),USA,"SpaceQuest, Ltd.",Commercial,Technology Development,96.3,12/3/2018,"SpaceQuest, Ltd.",USA,Vandenberg AFB,Falcon 9,43796,2018
THEMIS A,USA,Multinational,"National Aeronautics and Space Administration (NASA)/University of California, Berkeley (in partnership with Germany, France, Austria, Canada)",Government/Civil,Space Science,1868.98,2/17/2007,Swales Aerospace,USA,Cape Canaveral,Delta 2,30580,2007
THEMIS D,USA,Multinational,"National Aeronautics and Space Administration (NASA)/University of California, Berkeley (in partnership with Germany, France, Austria, Canada)",Government/Civil,Space Science,1867.91,2/17/2007,Swales Aerospace,USA,Cape Canaveral,Delta 2,30797,2007
THEMIS E,USA,Multinational,"National Aeronautics and Space Administration (NASA)/University of California, Berkeley (in partnership with Germany, France, Austria, Canada)",Government/Civil,Space Science,1875.53,2/17/2007,Swales Aerospace,USA,Cape Canaveral,Delta 2,30798,2007
Theos,Thailand,Thailand,Geo-Informatics and Space Technology Development Agency (GISTDA),Government,Earth Observation,101.4,10/1/2008,EADS Astrium,France,Dombarovsky Air Base,Dnepr,33396,2008
Thor-3,Norway,Norway,Telenor Satellite Broadcasting,Commercial,Communications,1436.07,6/10/1998,Boeing Satellite Systems,USA,Cape Canaveral,Delta 2,25358,1998
Thor-5 ,Norway,Norway,Telenor Satellite Broadcasting,Commercial,Communications,1436.1,2/11/2008,Orbital Sciences Corp.,USA,Baikonur Cosmodrome,Proton M,32487,2008
Thor-6,Norway,Norway,Telenor Satellite Broadcasting,Commercial,Communications,1436.1,10/29/2009,Thales Alenia Space,France/Italy,Guiana Space Center,Ariane 5,36033,2009
Thor-7,Norway,Norway,Telenor Satellite Broadcasting,Commercial,Communications,1433.4,4/26/2015,Space Systems/Loral,USA,Guiana Space Center,Ariane 5,40613,2015
Thuraya 2,United Arab Emirates,United Arab Emirates,Thuraya Satellite Communications,Commercial,Communications,1436.07,6/10/2003,Hughes Space and Communications Co.,USA,Sea Launch Odyssey,Zenit 3SL,27825,2003
Thuraya 3,United Arab Emirates,United Arab Emirates,Thuraya Satellite Communications,Commercial,Communications,1436.1,1/15/2008,Boeing Satellite Systems,USA,Sea Launch Odyssey,Zenit 3SL,32404,2008
Tianhui 1-01,China,China,China Aerospace Science and Technology Corp. (CASC),Government,Earth Observation,94.5,8/24/2010,DFH Satellite Co. Ltd.,China,Jiuquan Satellite Launch Center,Long March 2D,36985,2010
Tianhui 1-02,China,China,China Aerospace Science and Technology Corp. (CASC),Government,Earth Observation,94.5,5/6/2012,DFH Satellite Co. Ltd.,China,Jiuquan Satellite Launch Center,Long March 2D,38256,2012
Tianhui 1-03,China,China,China Aerospace Science and Technology Corp. (CASC),Government,Earth Observation,94.5,10/26/2015,DFH Satellite Co. Ltd. ,China,Jiuquan Satellite Launch Center,Long March 2D,40988,2015
Tianhui 2-01,China,China,China Aerospace Science and Technology Corp. (CASC),Government,Earth Observation,94.8,4/29/2019,DFH Satellite Co. Ltd.,China,Taiyuan Launch Center,Long March 4B,44207,2019
Tianhui 2-02,China,China,China Aerospace Science and Technology Corp. (CASC),Government,Earth Observation,94.8,4/29/2019,DFH Satellite Co. Ltd.,China,Taiyuan Launch Center,Long March 4B,44208,2019
Tiankun-1,China,China,Chinese Academy of Launch Vehicle Technology (CASIC),Government,Earth Observation/Technology Development,92.4,3/2/2017,China Academy of Launch Vehicle Technology (CASIC),China,Jiuquan Satellite Launch Center,KT-2,42061,2017
TianLian 1,China,China,China Aerospace Science and Technology Corp. (CASC),Government,Communications,1436.08,4/25/2008,China Academy of Space Technology (CAST),China,Xichang Satellite Launch Center,Long March 3C,32779,2008
TianLian 2,China,China,China Aerospace Science and Technology Corp. (CASC),Government,Communications,1436.1,7/11/2011,China Academy of Space Technology (CAST),China,Xichang Satellite Launch Center,Long March 3C,37737,2011
TianLian 2.01,NR (11/19),China,China Aerospace Science and Technology Corp. (CASC),Government,Communications,1436.1,3/31/2019,China Academy of Space Technology (CAST),China,Xichang Satellite Launch Center,Long March 3B,44076,2019
TianLian 3 ,China,China,China Aerospace Science and Technology Corp. (CASC),Government,Communications,1436,7/25/2012,China Academy of Space Technology (CAST),China,Xichang Satellite Launch Center,Long March 3C,38730,2012
TianLian 4,China,China,China Aerospace Science and Technology Corp. (CASC),Government,Communications,1436.1,11/22/2016,China Academy of Space Technology (CAST),China,Xichang Satellite Launch Center,Long March 3C,41869,2016
Tianqi-1,NR,China,Guodian Gaoke,Commercial,Communications,94.9,10/29/2018,Guodian Gaoke,China,Jiuquan Satellite Launch Center,Long March 2C,43668,2018
Tianqi-2,NR (11/19),China,Guodian Gaoke,Commercial,Communications,95.5,8/17/2019,Guodian Gaoke,China,Jiuquan Satellite Launch Center,Jielong 1,44487,2019
Tianqi-3,NR (11/19),China,Guodian Gaoke,Commercial,Communications,96,6/5/2019,Guodian Gaoke,China,Yellow Sea Launch Platform,Long March 11,44311,2019
Tiantong-1,NR,China,China Telecom,Government,Communications,1436.05,8/5/2016,China Academy of Space Technology (CAST),China,Xichang Satellite Launch Center,Long March 3B,41725,2016
Tiantuo-2,NR,China,National University of Defense Technology,Government,Earth Observation/Communications,94.31,9/8/2014,National University of Defense Technology,China,Taiyuan Launch Center,Long March 4B,40144,2014
Tiantuo-3,NR,China,National University of Defense Technology,Government,Technology Development,93.73,9/19/2015,National University of Defense Technology,China,Taiyuan Launch Center,Long March 6,40899,2015
TW-1A,NR,China,Shanghai Engineering Center for Microsatellites,Civil,Technology Development,94.1,9/24/2015,Nanjing University of Aeronautics and Astronautics/Shanghai Engineering Center for Microsatellites,China,Jiuquan Satellite Launch Center,Long March 11,40928,2015
TW-1C,NR,China,Nanjing University of Aeronautics and Astronautics,Civil,Technology Development,94.12,9/24/2015,Nanjing University of Aeronautics and Astronautics/Shanghai Engineering Center for Microsatellites,China,Jiuquan Satellite Launch Center,Long March 11,40926,2015
Tianxiang-1,NR (11/19),China,China Electronic Technology Group,Commercial,Technology Development,96,6/5/2019,China Electronic Techology Group,China,Yellow Sea Launch Platform,Long March 11,44315,2019
Tianxiang-2,NR (11/19),China,China Electronic Technology Group,Commercial,Technology Development,96,6/5/2019,China Electronic Techology Group,China,Yellow Sea Launch Platform,Long March 11,44316,2019
TianYi-2,China,China,Spacety Aerospace Co./Changsha Gaoxinqu Tianyi Research Institute,Commercial,Technology Development,95.3,1/18/2018,Spacety Aerospace Co.,China,Jiuquan Satellite Launch Center,Long March 11,43155,2018
TianYi-6,China,China,Spacety Aerospace Co./Changsha Gaoxinqu Tianyi Research Institute,Commercial,Technology Development,95.3,1/18/2018,Spacety Aerospace Co.,China,Jiuquan Satellite Launch Center,Long March 11,43158,2018
Tianzhi-1,China,China,Chinese Academy of Sciences (CAS)/China Academy of Space Technology,Government,Technology Development,95.2,11/19/2018,Innovation Academy for Microsatellites/Chinese Academy of Sciences (CAS),China,Jiuquan Satellite Launch Center,Long March 2D,43712,2018
TIGRISat,Iraq,Iraq,La Sapienza University of Rome,Civil,Earth Observation,97.82,6/19/2014,La Sapienza University of Rome,Italy,Dombarovsky Air Base,Dnepr,40043,2014
TIMED,USA,USA,"National Aeronautics and Space Administration (NASA)/Applied Physics Laboratory, Johns Hopkins",Government/Civil,Space Science,97,12/7/2001,"Applied Physics Laboratory, Johns Hopkins",USA,Vandenberg AFB,Delta 2,26998,2001
TJS-1,China,China,China Academy of Space Technology (CAST),Government,Technology Development,1436.03,9/12/2015,China Academy of Space Technology (CAST),China,Xichang Satellite Launch Center,Long March 3B,40892,2015
TJS-2,China,China,China Academy of Space Technology (CAST),Government,Technology Development,1436.19,1/5/2017,Shanghai Academy of Spaceflight Technology,China,Xichang Satellite Launch Center,Long March 3B,41911,2017
TJS-3,China,China,China Academy of Space Technology (CAST),Government,Technology Development,1436.1,12/25/2018,China Academy of Space Technology (CAST),China,Xichang Satellite Launch Center,Long March 3C,43874,2018
TJS-3 subsatellite,NR,China,China Academy of Space Technology (CAST),Government,Technology Development,1436.1,12/25/2018,China Academy of Space Technology (CAST),China,Xichang Satellite Launch Center,Long March 3C,43917,2018
TKSat-1,Bolivia,Bolivia,Bolivia Aerospace Bureau,Government,Communications,1436.07,12/20/2013,China Academy of Space Technology (CAST),China,Xichang Satellite Launch Center,Long March 3B,39481,2013
USA 136,USA,USA,National Reconnaissance Office (NRO)/US Air Force,Military,Earth Observation,709.61,11/8/1997,Boeing Satellite Systems,USA,Cape Canaveral,Titan IVA,25034,1997
Cosmos 2428,Russia,Russia,Ministry of Defense,Military,Earth Observation,102,6/29/2007,KB Yuznoye,Ukraine,Baikonur Cosmodrome,Zenit 2M,31792,2007
TSUBAME,Japan,Japan,"Tokyo Institute of Technology, Tokyo University of Science and JAXA",Civil,Earth Observation,95.38,11/6/2014,"Tokyo Institute of Technology, Tokyo University of Science and JAXA",Japan,Dombarovsky Air Base,Dnepr,40302,2014
TUGSat-1,Austria,Austria,Technical University of Graz,Civil,Technology Development,100.3,2/25/2013,University of Toronto Institute for Aerospace Studies (UTIAS),Canada,Satish Dhawan Space Centre,PSLV,39091,2013
Turkmen Alem 52E/MonacoSAT,NR,Turkmenistan/Monaco,Turkmenistan Ministry of Communications/SSI-Monaco,Government/Commercial,Communications,1432.69,4/27/2015,Thales Alenia Space,France/Italy,Cape Canaveral,Falcon 9,40617,2015
Turksat 3A,Turkey,Turkey,Turksat,Commercial,Communications,1436.06,6/12/2008,Thales Alenia Space,France,Guiana Space Center,Ariane 5 ECA,33056,2008
Turksat 4A,Turkey,Turkey,Turksat,Commercial,Communications,1436.08,2/14/2014,Mitsubishi Electric ,Japan,Baikonur Cosmodrome,Proton,39522,2014
Turksat 4B,NR,Turkey,Turksat,Commercial,Communications,1436.57,10/16/2015,Mitsubishi Electric ,Japan,Baikonur Cosmodrome,Proton,40984,2015
Tyvak-53b,NR,USA,"Tyvak Nanosatellite Systems, Inc.",Commercial,Technology Demonstration,94.7,6/23/2017,"Tyvak Nanosatellite Systems, Inc.",USA,Satish Dhawan Space Centre,PSLV,42795,2017
Tyvak-61c,NR,USA,"Tyvak Nanosatellite Systems, Inc.",Commercial,Technology Demonstration,94.5,1/11/2018,"Tyvak Nanosatellite Systems, Inc.",USA,Satish Dhawan Space Centre,PSLV,43144,2018
USA 146,USA,USA,US Navy,Military,Communications,1436.1,11/24/1999,Boeing Satellite Systems,USA,Cape Canaveral,Atlas 2,25967,1999
USA 174,USA,USA,US Navy,Military,Communications,1436.1,12/18/2003,Boeing Satellite Systems,USA,Cape Canaveral,Atlas 3,28117,2003
USA 95,USA,USA,US Navy,Military,Communications,1436.12,9/3/1993,Boeing Satellite Systems,USA,Cape Canaveral,Atlas 2,22787,1993
